"Character","Regret_Count","Regret_Percent","Social_Norm_Injunctive_Count","Social_Norm_Injunctive_Percent","Social_Norm_Descriptive_Count","Social_Norm_Descriptive_Percent","Negative_Affect_Count","Negative_Affect_Percent"
"Exception Jones",315,"92.1%",326,"95.3%",32,"9.4%",317,"92.7%"
"Routine Smith",27,"7.9%",16,"4.7%",310,"90.6%",25,"7.3%"
